id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
203691,Rental unit in Vienna · ★4.63 · 1 bedroom · 1 bed · 2 baths,518644,Michael,,Margareten,48.19347,16.359,Private room,45,1,78,2023-08-22,0.53,35,338,24,
203707,Rental unit in Vienna · ★4.56 · 1 bedroom · 2 beds · 1.5 baths,518644,Michael,,Margareten,48.19496,16.35896,Entire home/apt,65,30,98,2022-06-10,0.67,35,287,0,
208734,Rental unit in Vienna · ★4.27 · 2 bedrooms · 3 beds · 1 bath,1028000,Liang,,Mariahilf,48.19341,16.35082,Entire home/apt,140,3,22,2019-05-21,0.29,1,0,0,
392603,Rental unit in Vienna · ★4.88 · 1 bedroom · 1 bed · 1 bath,1963384,Caroline,,Innere Stadt,48.20904,16.37182,Entire home/apt,100,14,89,2023-08-01,0.67,1,318,6,
392756,Rental unit in Vienna · ★4.68 · 1 bedroom · 1 bed · 1 bath,1833176,Markus,,Innere Stadt,48.21564,16.37199,Entire home/apt,109,3,40,2023-08-20,0.31,4,76,5,
392757,Rental unit in Vienna · ★4.65 · 1 bedroom · 1 bed · 1 bath,1833176,Markus,,Innere Stadt,48.21496,16.37161,Entire home/apt,109,2,122,2023-09-04,0.88,4,134,22,
392905,Rental unit in Vienna · ★4.59 · 1 bedroom · 1 bed · 1 bath,1833176,Markus,,Innere Stadt,48.21351,16.37282,Entire home/apt,109,3,62,2023-08-08,0.47,4,249,10,
210780,Rental unit in Vienna · ★4.87 · Studio · 3 beds · 1 bath,175131,Ingela,,Rudolfsheim-Fnfhaus,48.18444,16.32715,Entire home/apt,118,1,178,2023-06-04,1.23,15,258,9,
212649,Rental unit in Vienna · ★4.91 · 3 bedrooms · 2 beds · 2 baths,358842,Elxe,,Leopoldstadt,48.21971,16.37903,Private room,45,2,32,2023-02-25,0.23,3,16,6,
216214,Rental unit in Vienna · ★4.58 · 1 bedroom · 1 bed · Shared half-bath,518644,Michael,,Margareten,48.19372,16.35862,Private room,34,30,37,2022-09-14,0.26,35,322,1,
